Key,English,German
Apply,Apply,Gelten
VocabularyIntroduction,Vocabulary introduction,Einführung in den Wortschatz
VocabularyTraining,Vocabulary training,Vokabeltraining
Examination1,Examination 1,Prüfung 1
Examination2,Examination 2,Prüfung 2
ARExercises,AR exercises,AR-Übungen
Instruction,Set up a table using these points. Use the right joystick to rotate the table,"Richten Sie eine Tabelle mit diesen Punkten ein. Verwenden Sie den rechten Joystick, um den Tisch zu drehen"
MainMenu,Return to menu,Zurück zum Menü
Score1,Score exam 1:,Punkteprüfung 1:
Score2,Score exam 1:,Punkteprüfung 2:
NextAR,Next,Nächsten
StartAR,Start,Beginnen
ReplayAR,Replay,Replay
ScoreAR,Score:,Punkteprüfung:
CorrectAR,Correct:,Richtig:
IncorrectAR,Incorrect:,Falsch:
TotalScoreAR,Total score,Gesamtscore
