Key,English,German,Swedish,Lithuanian,Latvian
Locked,Locked,Sperren,Låst,Užrakinta,Bloķēts
DiabetesAnamnesis,Diabetes Anamnesis,Diabetesanamnese,Diabetesanamnes,Diabeto anamnezė,Diabēta anamnēze
ShowcaseRoom,Showcase Room,Showcase-Raum,Showcase Room,Vitrinų kambarys,Vitrīnas telpa
RecordedShiftChange,Recorded Shift Change,Aufgezeichneter Schichtwechsel,Inspelad skiftändring,Įrašytas pamainos pakeitimas,Ierakstīta maiņas maiņa
ShiftChange,Shift Change,Schichtwechsel,Skift Ändra,Shift Keisti,Shift Mainīt
WaitingRoom,Waiting Room,Wartezimmer,Väntrum,Laukiamasis,Uzgaidāmā telpa
ExaminationRoom,Examination Room,Untersuchungsraum,Undersökningsrum,Apžiūros kambarys,Pārbaudes telpa
TaskMRDT,"MRDT or Mixed Reallity demonstration tool will demonstrate to you the possibilities that MR provides, you will be able to familiarize yourself with the basic mechanics and actions in VR.","MRDT oder Mixed Reallity Demonstration Tool zeigt Ihnen die Möglichkeiten, die MR bietet, und Sie können sich mit den grundlegenden Mechanismen und Aktionen in VR vertraut machen.","MRDT eller Mixed Reality demonstrationsverktyg kommer att visa dig möjligheterna som MR ger, du kommer att kunna bekanta dig med de grundläggande mekaniken och handlingarna i VR.","MRDT arba Mišrios realybės demonstravimo įrankis parodys jums MR teikiamas galimybes, galėsite susipažinti su pagrindine VR mechanika ir veiksmais.","MRDT jeb Mixed Relity demonstrācijas rīks parādīs MR sniegtās iespējas, varēsi iepazīties ar VR pamata mehāniku un darbībām."
TaskAnamnesis,Task Anamnesis,Aufgabenanamnese,Uppgift Anamnes,Užduočių anamnezė,Uzdevuma anamnēze
TaskA1,TaskA1 is a very cool task that will help you elevate your soft skills in an immersive environment,"AufgabeA1 ist eine sehr coole Aufgabe, die Ihnen dabei hilft, Ihre Soft Skills in einer immersiven Umgebung zu verbessern",TaskA1 är en väldigt cool uppgift som hjälper dig att höja dina mjuka färdigheter i en uppslukande miljö,"„TaskA1“ yra labai šauni užduotis, kuri padės patobulinti savo minkštuosius įgūdžius įtraukiančioje aplinkoje","TaskA1 ir ļoti foršs uzdevums, kas palīdzēs jums uzlabot savas prasmes ieskaujošā vidē"
TaskA2,TaskA2 is a very cool task that will help you elevate your soft skills in an immersive environment,"AufgabeA2 ist eine sehr coole Aufgabe, die Ihnen dabei hilft, Ihre Soft Skills in einer immersiven Umgebung zu verbessern",TaskA2 är en väldigt cool uppgift som hjälper dig att höja dina mjuka färdigheter i en uppslukande miljö,"„TaskA2“ yra labai šauni užduotis, kuri padės patobulinti savo minkštuosius įgūdžius įtraukiančioje aplinkoje","TaskA2 ir ļoti foršs uzdevums, kas palīdzēs jums uzlabot savas prasmes ieskaujošā vidē"
TaskA3,TaskA3 is a very cool task that will help you elevate your soft skills in an immersive environment,"TaskA3 ist eine sehr coole Aufgabe, die Ihnen dabei hilft, Ihre Soft Skills in einer immersiven Umgebung zu verbessern",TaskA3 är en väldigt cool uppgift som hjälper dig att höja dina mjuka färdigheter i en uppslukande miljö,"„TaskA3“ yra labai šauni užduotis, kuri padės patobulinti savo minkštuosius įgūdžius įtraukiančioje aplinkoje","TaskA3 ir ļoti foršs uzdevums, kas palīdzēs uzlabot savas prasmes ieskaujošā vidē"
TaskB11,"Welcome to the admissions room.
Go near to the patients and ask them about their stories and determine which is is most need of emergent attention. When you you are ready to make your selection, select the patient to bring to the next room using the tablet.","Willkommen im Aufnahmeraum.
Gehen Sie in die Nähe der Patienten, fragen Sie sie nach ihren Geschichten und stellen Sie fest, welche Situation am dringendsten Aufmerksamkeit erfordert. Wenn Sie bereit sind, Ihre Auswahl zu treffen, wählen Sie mit dem Tablet den Patienten aus, den Sie in das nächste Zimmer bringen möchten.","Välkommen till antagningsrummet.
Gå nära patienterna och fråga dem om deras berättelser och bestäm vilken som är mest behov av akut uppmärksamhet. När du är redo att göra ditt val, välj patienten att ta med till nästa rum med hjälp av surfplattan.","Sveiki atvykę į priėmimo kambarį.
Prieikite prie pacientų ir paklauskite jų apie jų istorijas ir nustatykite, kam labiausiai reikia ypatingo dėmesio. Kai būsite pasiruošę pasirinkti, planšetiniu kompiuteriu pasirinkite pacientą, kurį norite atnešti į kitą kambarį.","Laipni lūgti uzņemšanas telpā.
Dodieties tuvu pacientiem un jautājiet viņiem par viņu stāstiem un nosakiet, kam ir visvairāk nepieciešama neatliekamā uzmanība. Kad esat gatavs veikt izvēli, atlasiet pacientu, kuru pārvest uz nākamo istabu, izmantojot planšetdatoru."
TaskB12,"You are a trainee nurse following the admissions nurse. Listen to the admissions nurse talking to the patient to learn what basic information is taken in the examination room upon admission. Use the Tablet on your left hand to follow the conversation. 
Once you have listened to the dialogue complete the quiz. ","Sie sind eine angehende Krankenpflegerin und folgen der Aufnahmekrankenschwester. Hören Sie zu, wie die Aufnahmeschwester mit dem Patienten spricht, um zu erfahren, welche grundlegenden Informationen bei der Aufnahme im Untersuchungsraum erfasst werden. Benutzen Sie das Tablet auf Ihrer linken Hand, um dem Gespräch zu folgen.
Nachdem Sie sich den Dialog angehört haben, schließen Sie das Quiz ab.","Du är sjuksköterskapraktikant efter antagningssköterskan. Lyssna på att intagningssköterskan pratar med patienten för att få reda på vilken grundläggande information som tas i undersökningsrummet vid intagningen. Använd surfplattan på vänster hand för att följa konversationen.
När du har lyssnat på dialogen slutför frågesporten.","Esate slaugytoja praktikantė, einanti į priėmimo slaugę. Klausykitės priėmimo slaugytojos, kalbančios su pacientu, kad sužinotumėte, kokia pagrindinė informacija priimama apžiūros kambaryje. Norėdami sekti pokalbį, naudokite planšetinį kompiuterį kairėje rankoje.
Išklausę dialogą, užpildykite viktoriną.","Jūs esat medicīnas māsa praktikants, kas seko uzņemšanas māsai. Klausieties uzņemšanas māsas sarunu ar pacientu, lai uzzinātu, kāda pamatinformācija tiek iegūta pārbaudes telpā uzņemšanas laikā. Izmantojiet planšetdatoru kreisajā rokā, lai sekotu sarunai.
Kad esat noklausījies dialogu, aizpildiet viktorīnu."
TaskB21,"Welcome to the admissions room.
Go near to the patients and ask them about their stories and determine which is in most need of emergent attention. When you are ready to make your selection, select the patient to bring to the next room using the tablet.","Willkommen im Aufnahmeraum.
Gehen Sie in die Nähe der Patienten, fragen Sie sie nach ihren Geschichten und stellen Sie fest, welche Patienten am dringendsten Aufmerksamkeit benötigen. Wenn Sie bereit sind, Ihre Auswahl zu treffen, wählen Sie mit dem Tablet den Patienten aus, den Sie in das nächste Zimmer bringen möchten.","Välkommen till antagningsrummet.
Gå nära patienterna och fråga dem om deras berättelser och bestäm vilken som är i störst behov av akut uppmärksamhet. När du är redo att göra ditt val, välj patienten att ta med till nästa rum med hjälp av surfplattan.","Sveiki atvykę į priėmimo kambarį.
Prieikite prie pacientų ir paklauskite jų apie jų istorijas ir nustatykite, kam labiausiai reikia ypatingo dėmesio. Kai būsite pasiruošę pasirinkti, planšetiniu kompiuteriu pasirinkite pacientą, kurį norite atnešti į kitą kambarį.","Laipni lūgti uzņemšanas telpā.
Dodieties tuvu pacientiem un jautājiet viņiem par viņu stāstiem un nosakiet, kam visvairāk nepieciešama neatliekamā uzmanība. Kad esat gatavs veikt izvēli, atlasiet pacientu, kuru pārvest uz nākamo istabu, izmantojot planšetdatoru."
TaskB22,Now is your turn to examine a patient. Use your tablet to identify the elements you need to take. Move closer to the patient to ask questions. The dialogue will appear on the screen near the patient. Allow the patient some time to react. ,"Jetzt sind Sie an der Reihe, einen Patienten zu untersuchen. Verwenden Sie Ihr Tablet, um die Elemente zu identifizieren, die Sie einnehmen müssen. Gehen Sie näher an den Patienten heran, um Fragen zu stellen. Der Dialog erscheint auf dem Bildschirm in der Nähe des Patienten. Geben Sie dem Patienten etwas Zeit zum Reagieren.",Nu är det din tur att undersöka en patient. Använd din surfplatta för att identifiera de element du behöver ta. Gå närmare patienten för att ställa frågor. Dialogen kommer att visas på skärmen nära patienten. Ge patienten lite tid att reagera.,"Dabar jūsų eilė ištirti pacientą. Naudokite planšetinį kompiuterį, kad nustatytumėte reikiamus elementus. Norėdami užduoti klausimus, eikite arčiau paciento. Dialogas pasirodys ekrane šalia paciento. Palikite pacientui šiek tiek laiko sureaguoti.","Tagad ir jūsu kārta pārbaudīt pacientu. Izmantojiet planšetdatoru, lai identificētu nepieciešamos elementus. Pārejiet tuvāk pacientam, lai uzdotu jautājumus. Dialogs parādīsies ekrānā pie pacienta. Dodiet pacientam kādu laiku reaģēt."
TaskB1_Showcase,This is a cool B1 showcase task,Dies ist eine coole B1-Vorzeigeaufgabe,Det här är en cool B1-uppvisning,Tai puiki B1 demonstravimo užduotis,Šis ir foršs B1 vitrīnas uzdevums
EnterRoom,Enter the room,Betrete den Raum,Kom in i rummet,Įeikite į kambarį,Ienāc istabā
PainAssessment1,Pain Assessment 1,Schmerzbeurteilung 1,Smärtbedömning 1,Skausmo įvertinimas 1,Sāpju novērtējums 1
PainAssessment2,Pain Assessment 2,Schmerzbeurteilung 2,Smärtbedömning 2,Skausmo įvertinimas 2,Sāpju novērtējums 2
