Key,English,German,Swedish,Lithuanian,Latvian
GuidedMode,Scenario 1 guided mode,Gesteuerter Modus,Guidat läge,Mokomasis režimas,Apmācības režīms
UnguidedMode,Scenario 1 exam mode,Szenario 1 Prüfungsmodus,Scenario 1 examensläge,Laisvas režimas,1. scenārija eksāmena režīms
Tutorial,Tutorial,Tutorial,Tutorial,Mokomoji priemonė[comma] pamoka,Pamācība
Options,Options,Optionen,Inställningar,Galimybės,Opcijas
Exit,Exit,Verlassen,Utgång,išėjimas,Iziet
DialogueVolume,Dialogue volume,Dialoglautstärke,Dialogvolym,Dialogo apimtis,Dialoga skaļums
SoundsVolume,Sounds volume,Klänglautstärke,Ljudvolym,Garso stiprumas,Skaņu skaļums
LanguageSettings,Language,Sprache,Språk,Kalba,Izvēlieties valodu
English,English,Englisch,Engelska,Anglų,Angļu
German,German,Deutsch,Tyska,Vokiečių,Vācu
Lithuanian,Lithuanian,Litauisch,Litauiska,Lietuvių,Lietuviešu
Latvian,Latvian,Lettisch,Lettisk,Latvių,Latviešu
Swedish,Swedish,Schwedisch,Svenska,Švedų,Zviedru
LocomotionSettings,Select movement type,Fortbewegungsart,Välj rörelsetyp,pasirinkite judėjimo tipą,Kustības tips
Teleport,Teleportation,Teleportation,Teleportering,Teleportacija,Teleportācija
Smooth,Smooth,gleichmäßig,Mjuk,sklandus[comma] vienodas,Līdzena
Mixed,Mixed,Gemischt,Blandad,Mišrus,Jaukts
Continue,Continue,Fortsetzen,Fortsätt,Tęsti,Turpināt
Restart,Restart,Neu starten,Börja om,Perkrauti,Restartēt
Menu,To menu,Zum Menü,Till menyn,Į meniu,Uz izvēlni
GenderSettings,Select gender,Geschlecht,Välj kön,Pasirinkite lytį,Izvēlieties dzimumu
GenderFemale,Female,Weiblich,Kvinna,Moteris,Sieviete
GenderMale,Male,Männlich,Man,Vyras,Vīrietis
WalkingSpeed,Walking speed,Schrittgeschwindigkeit,Gånghastighet,Ėjimo greitis,Pārvietošanās ātrums
MusicVolume,Music volume,Musiklautstärke,Musikvolym,Muzikos apimtis,Mūzikas skaļums
Start,Start,Start,Start,Pradėti,Sākt
Left,Left,Links,Vänster,Kairėje,Atstāts
Right,Right,Rechts,Höger,Dešinėje,Pa labi
LocomotionSettingsHand,Select movement hand,Fortbewegungshand,Välj rörelsehand,Pasirinkite judesio ranką,Atlasiet kustības roku
Assistant,Doctor's assistant,Arzthelfer,Doktorsassistent,Gydytojo padėjėjas,Ārsta palīgs
Nurse,Nurse,Krankenschwester,Sjuksköterska,Slaugytoja,Barot
QuestionsLeft,Questions left:,Fragen übrig:,Frågor kvar:,Liko klausimai:,Atlikušie jautājumi:
Yes,Yes,Ja,Ja,Taip,Jā
No,No,NEIN,Nej,Ne,Nē
Select hand,Select hand,Wählen Sie Hand,Välj hand,Pasirinkite Ranką,Atlasīt roku
Right handed,Right handed,Rechtshändig,Högerhänt,Dešiniarankiams,Labās rokas
Left handed,Left handed,Linkshändig,Vänsterhänt,Kairiarankis,Kreilis
ResetProgress,Reset progress,Fortschritt zurücksetzen,Återställ förloppet,Iš naujo nustatyti eigą,Atiestatīt progresu
MRDT,MRDT,MRDT,MRDT,MRDT,MRDT
ScenarioA,Scenario A,Szenario A,Scenario A,Scenarijus A,Scenārijs A
ScenarioB1,Scenario B,Szenario B,Scenario B,B scenarijus,B scenārijs
ScenarioB2,Scenario C,Szenario C,Scenario C,C scenarijus,C scenārijs
NextTaskButton,To the next task,Zur nächsten Aufgabe,Till nästa uppgift,Prie kitos užduoties,Uz nākamo uzdevumu
Reception,Reception,Rezeption,Reception,Priėmimas,Uzņemšana
StudyLanguage,Studied language,Sprache studiert,Studerade språk,Studijavo kalbą,Studējis valodu
UILanguage,UI Language,UI-Sprache,UI-språk,UI kalba,UI valoda
Credits,Credits,Credits,Credits,Credits,Credits
CreditsText,"""Facial & Body Animated Party_M_0001""
Realallusion (https://sketchfab.com/reallusion)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

""man 4k""
Hamdoon-Animation (https://sketchfab.com/midoelfnaan)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/","""Facial & Body Animated Party_M_0001""
Realallusion (https://sketchfab.com/reallusion)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

""man 4k""
Hamdoon-Animation (https://sketchfab.com/midoelfnaan)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/","""Facial & Body Animated Party_M_0001""
Realallusion (https://sketchfab.com/reallusion)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

""man 4k""
Hamdoon-Animation (https://sketchfab.com/midoelfnaan)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/","""Facial & Body Animated Party_M_0001""
Realallusion (https://sketchfab.com/reallusion)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

""man 4k""
Hamdoon-Animation (https://sketchfab.com/midoelfnaan)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/","""Facial & Body Animated Party_M_0001""
Realallusion (https://sketchfab.com/reallusion)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

""man 4k""
Hamdoon-Animation (https://sketchfab.com/midoelfnaan)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/"
ToLobby,To the lobby,Zur Lobby,Till lobbyn,Į fojė,Uz vestibilu
ResetLocation,Reset location,Standort zurücksetzen,Återställ plats,Iš naujo nustatyti vietą,Atiestatīt atrašanās vietu
ToMainMenu,To the main menu,Zum Hauptmenü,Till huvudmenyn,Į pagrindinį meniu,Uz galveno izvēlni
ArShowcase,AR showcase,AR-Schaufenster,AR skyltfönster,AR vitrina,AR vitrīna
TrainingModules,Training modules,Ausbildungsmodule,Utbildningsmoduler,Mokymo moduliai,Apmācību moduļi
MissingInternetConnection,DR FLEMP requires an active internet connection to operate. You are currently offline. Please ensure you're connected to the internet and tap 'Continue' to proceed.,"Für den Betrieb von DR FLEMP ist eine aktive Internetverbindung erforderlich. Sie sind derzeit offline. Bitte stellen Sie sicher, dass Sie mit dem Internet verbunden sind und tippen Sie auf „Weiter“, um fortzufahren.","DR FLEMP kräver en aktiv internetanslutning för att fungera. Du är för närvarande offline. Se till att du är ansluten till internet och tryck på ""Fortsätt"" för att fortsätta.","Kad veiktų DR FLEMP, reikalingas aktyvus interneto ryšys. Šiuo metu esate neprisijungę. Įsitikinkite, kad esate prisijungę prie interneto ir bakstelėkite „Tęsti“, kad tęstumėte.","Lai DR FLEMP darbotos, ir nepieciešams aktīvs interneta savienojums. Jūs pašlaik esat bezsaistē. Lūdzu, pārliecinieties, vai ir izveidots savienojums ar internetu, un pieskarieties “Turpināt”, lai turpinātu."
VerifyingConnection,Verifying your internet connection...,Überprüfen Sie Ihre Internetverbindung...,Verifierar din internetanslutning...,Tikrinamas interneto ryšys...,Notiek interneta savienojuma pārbaude...
