Character,Highlight,TimecodeEnglish,TextEnglish,TimecodeGerman,TextGerman
Oncoming,0,5,"Good morning, Nurse. It's time for us to switch shifts, I'm taking over for you. How's the patient?",5,"Guten Morgen, Frau Müller. Zeit für den Schichtwechsel, ich übernehme für Sie. Wie geht's der Patientenin?"
Offgoing,0,13,She's doing okay. It's been relatively quiet. She is not experiencing any pain and is able to move her extremities.,15,Es geht ihr gut. Es ist relativ ruhig gewesen. Sie hat keine Schmerzen und kann ihre Gliedmaßen bewegen.
ANIMATION,0,19,off_move_to_monitor,21,off_move_to_monitor
Offgoing,0,20,I’ll introduce you to the patient. Let’s have a look.,22,Ich werde Sie der Patientin vorstellen. Schauen wir uns das mal an.
Offgoing,0,24,This is Ms X.  42. She was admitted for a surgical operation. Last night she had a successful knee orthopedic surgery. She is still under some sedation and is sleeping at the moment. I gave her some medications for pain relief and she is resting comfortably. Her code status is 2. ,27,"Das ist Frau X. 42 Jahre alt. Sie wurde für einen chirurgischen Eingriff ins Krankenhaus eingeliefert. Letzte Nacht wurde sie erfolgreich am Knie operiert. Sie steht noch unter Beruhigungsmitteln und schläft im Moment. Ich habe ihr Medikamente zur Schmerzlinderung gegeben, und sie ruht sich aus. Ihr Code-Status ist 2."
Oncoming,0,41,I see. Any isolation precautions?,46,"Aha, ich verstehe. Gibt es Isolationsmaßnahmen?"
Offgoing,0,45,"Yes, there are. No visitors for the first two days to avoid germs. Except for authorized medical staff.",51,"Ja, die gibt es. In den ersten zwei Tagen sind keine Besucher erlaubt, um Keime zu vermeiden. Mit Ausnahme von autorisiertem medizinischem Personal."
Oncoming,0,52,I understand. What are her vitals?,60,Verstehe. Wie sind ihre Vitalwerte?
Offgoing,0,56,Her vitals are stable.,64,Ihre Vitalwerte sind stabil.
Oncoming,0,60,Is the patient on oxygen?,68,Erhält die Patientin Sauerstoff?
ANIMATION,0,63,off_point_to_oxygen,71,off_point_to_oxygen
Offgoing,0,64,"Yes, she is on a liter of oxygen.",72,"Ja, ihr wird ein Liter Sauerstoff verabreicht."
Oncoming,0,67,"Yes, I see. Is the patient a telemetry or non-monitored patient?",75,Alles klar. Wird der Patient telemetrisch oder nicht telemetrisch überwacht?
ANIMATION,0,72,on_point_to_monitoring,80,on_ point_to_monitoring
Offgoing,0,73," The patient has previous cardiac history, so she is on telemetry for the first post-operative day.",81,"Die Patientin hat eine kardiologische Vorgeschichte, daher wird sie am ersten postoperativen Tag telemetrisch überwacht."
ANIMATION,0,76,off_look_at_monitoring,85,off_look_at_monitoring
ANIMATION,0,77,on_point_to_drop,88,on_point_to_drop
Offgoing,0,77,And she is also on heparin drip after an orthopedic surgery.,88,Außerdem ist sie nach einer orthopädischen Operation an einen Heparin-Tropf angeschlossen.
ANIMATION,0,82,on_check_drip,93,on_check_drip
Oncoming,0,84,What is the patient’s level of consciousness?,95,Wie ist der Bewusstseinszustand der Patientin?
Offgoing,0,89,"Well, the neurologist says she is appropriate for her age and condition. At the moment she is sedated and sleeping to have some rest and quicker recovery.",100,"Nun, der Neurologe sagt, sie sei ihrem Alter und ihrem Zustand angemessen. Im Moment ist sie sediert und schläft, damit sie sich ausruhen und schneller erholen kann."
Oncoming,0,97,I see that she is bed-bound at the moment but what are the indications for her mobility?,109,"Ich sehe, dass sie im Moment bettlägerig ist, aber wie sieht es mit ihrer Mobilität aus?"
Offgoing,0,103,The orthopedic doctor will visit again during your shift and will give further recommendations. The initial plan is to have her moving little by little. She may need your assistance.,116,"Der Orthopäde wird sie während Ihrer Schicht erneut besuchen und weitere Empfehlungen geben. Zunächst ist geplant, dass sie sich nach und nach bewegt. Vielleicht braucht sie Ihre Hilfe."
Oncoming,0,111,"Does the patient need assistance eating, showering or using the bathroom?",125,"Braucht die Patientin Hilfe beim Essen, Duschen, Toilettengang?"
Offgoing,0,116,"She tries to be independent as much as possible, but you can offer your assistance. ",130,"Sie versucht, so weit wie möglich selbstständig alles zu erledigen, aber Sie können ihr dabei helfen."
Oncoming,0,121,Are there any diet restrictions? ,135,Gibt es irgendwelche Einschränkungen in Bezug auf die Ernährung?
Offgoing,0,124,She is on a regular diet and she has been taking meals and fluids as instructed.,139,Sie isst regelmäßig und nimmt Mahlzeiten und Flüssigkeit nach Vorschrift zu sich.
Oncoming,0,129,What should I know about her wound care?,144,Was muss ich über ihre Wundversorgung wissen?
ANIMATION,0,132,off_point_to_leg,147,off_point_to_leg
Offgoing,0,133,Her dressing should remain dry and intact. ,148,Ihr Verband sollte trocken und intakt bleiben.
ANIMATION,0,134,on_look_at_leg,149,on_look_at_leg
Oncoming,0,136,Looks nice.,151,Sieht gut aus.
Oncoming,0,140,Anything else?,154,Noch etwas?
Offgoing,0,144,Emergency equipment should be set up and functioning properly. ,158,Die Notfallausrüstung sollte eingerichtet sein und ordnungsgemäß funktionieren.
ANIMATION,0,149,off_show_ambu,163,off_show_ambu
Offgoing,0,149,Here we have our AMBU bag and a suction system.,163,Das ist unser AMBU-Beutel und das Absaugsystem.
Oncoming,0,153,Is the patient on any medication? ,167,Wird der Patient medikamentös behandelt?
ANIMATION,0,158,off_point_record,172,off_point_record
Offgoing,0,158,"Here you can see the scheduled medication, what is the doze, when the last intake was and when the next intake is scheduled. ",172,"Hier sehen Sie die geplante Medikation, wie hoch die Dosis ist, wann die letzte Einnahme war und wann die nächste Einnahme geplant ist."
Oncoming,0,165,Thank you for the update. Is she scheduled for any more follow up appointments?,179,Vielen Dank für das Update. Ist sie für weitere Folgetermine vorgesehen?
Offgoing,0,170,"Yes, she is scheduled for follow up appointments with her orthopedic surgeon in two hours.",185,"Ja, sie hat in zwei Stunden einen Folgetermin bei ihrem Orthopäden."
Oncoming,0,175,Great. I'll keep a close eye on her and make sure she's doing well. Anything else I should know?,190,"Sehr gut. Ich werde sie genau im Auge behalten und sicherstellen, dass es ihr gut geht. Gibt es sonst noch etwas, das ich wissen sollte?"
Offgoing,0,182,"Just keep an eye on the wound. Otherwise, she should be fine. The doctor will be doing regular checkups, so she should be in good hands.",199,"Behalten Sie einfach die Wunde im Auge. Ansonsten sollte es ihr gut gehen. Der Arzt wird sie regelmäßig untersuchen, so dass sie in guten Händen ist."
Oncoming,0,189,Got it. I'll be checking with her regularly.,207,Verstanden. Ich werde sie regelmäßig prüfen.
Offgoing,0,193,Great. Have a safe and quiet shift.,211,Super. Ich wünsche Ihnen eine sichere und ruhige Schicht.
