Character,Highlight,TimecodeEnglish,TextEnglish,TimecodeGerman,TextGerman
Ann,0,5,"Good morning! My name is Ann, and I'm an admissions nurse.",5,Guten Morgen! Ich heiße Frau Müller und ich unterstzütze Sie bei der Aufnahme. 
Ann,1,10,Can I start by asking your full name?,12,Darf ich nach Ihrem vollständigen Namen fragen?
Tom,0,14,Good morning. I'm Tom Stevens.,17,Guten Morgen! Mein Name ist Thomas Stegmann.
Ann,0,17,What’s your date of birth?,21,Wie ist Ihr Geburtsdatum?
Tom,0,19,2 June 2005.,25,der 2. Juni 2005
Ann,0,22,"Where do you live, Mr Stevens? What’s your address?",29,"Wo wohnen Sie, Herr Stegmann? Wie lautet Ihre Anschrift?"
Tom,0,27,"It’s apartment 7, 22 Park Street, Düsseldorf. ",35,"Charlottenstraße 49, 40210 Düsseldorf  "
Ann,0,31,"Thank you, Mr Stevens. What is your phone number?",40,"Vielen Dank, Herr Stegmann. Und wie ist Ihre Telefonnummer? "
Tom,0,36,"""+49 30 9018205""",49,"""+49 30 9018205"""
Ann,0,41,"Mr Stevens, who is your next of kin? A person that we could call in an emergent case. ",54,"Herr Stegmann, haben Sie Angehörige, die wir in einem Notfall anrufen könnten?"
Tom,0,47,"Well, I haven’t thought of that. I guess, it’s my mom, Betany Stevens. The same phone number. Or my dad, John Stevens. ",60,"Naja, darüber habe ich noch nicht nachgedacht. Ich schätze, es ist meine Mutter, Bettina Stegmann. Dieselbe Telefonnummer. Oder mein Vater, Jonah Stegmann."
Ann,1,55,Do you have any allergies?,70,Sind Sie allergisch gegen etwas?
Ann,0,58,Food? Medication?,74,Gegen Essen oder Medikamente?
Tom,0,62,"Not very severe, but I sometimes feel allergic to some kinds of seafood.",79,"Nicht sehr stark, aber ich reagiere manchmal allergisch auf einige Arten von Meeresfrüchten."
Ann,0,67,Noted. Have you ever been to the hospital for any treatment? Do you have any chronic diseases? ,84,Alles klar. Waren Sie schon einmal zur Behandlung im Krankenhaus? Haben Sie chronische Krankheiten?
Tom,0,73,"No, none of that.",92,"Nein, nichts davon."
Ann,0,76,Do you take any medication on regular basis?,95,Nehmen Sie regelmäßig Medikamente ein?
Tom,0,80,"No, just some painkillers. One or two pills during last night.",100,"Nein, ab und zu Schmerztabletten. Eine oder zwei in der letzten Nacht. "
Ann,0,85,"Mr. Stevens, how are you feeling?",105,"Herr Stegmann, wie fühlen Sie sich?"
Ann,1,89,What is your reason for coming here?,109,Aus welchem Grund sind Sie zu uns gekommen?
Tom,0,94,"I've got this sharp, stabbing pain in the lower right side of my stomach that's been bothering me for a while. It's consistent and not going away.",114,"Ich habe seit einiger Zeit scharfe, stechende Schmerzen recht im Unterbauch. Sie sind durchgehend und gehen nicht weg. "
