Character,Highlight,TimecodeEnglish, TextEnglish,TimecodeGerman,TextGerman
ANIMATION,0,1,lizzy_parker_speaking,1,lizzy_parker_speaking
lizzy_parker,0,1,"I was riding my bike when I hit something and fell. My head got hurt, and it's been throbbing since",1,"Ich fuhr mit dem Fahrrad, als ich etwas traf und fiel. Mein Kopf wurde verletzt und seitdem pochte er"
lizzy_parker,0,7," A kind person passing by called an ambulance, and now I am here.",7," Eine freundliche Person, die vorbeikam, nannte einen Krankenwagen, und jetzt bin ich hier."
lizzy_parker,0,13,"The pain's pretty constant, and I'm just hoping you can help with the head wound.",13,"Der Schmerz ist ziemlich konstant und ich hoffe nur, dass Sie mit der Kopfwunde helfen können."
ANIMATION,0,19,tom_stevens_speaking,19,tom_stevens_speaking
tom_stevens,0,19,"I've got this sharp, stabbing pain in the lower right side of my stomach that's been bothering me for a while.",19,"Ich habe diesen scharfen, stechenden Schmerz in der unteren rechten Seite meines Magens, die mich schon eine Weile gestört hat."
tom_stevens,0,25,"It's consistent and not going away. I am concerned it might be something like appendicitis, so I came to get it checked out. ",25,"Es ist konsequent und geht nicht weg. Ich bin besorgt, dass es so etwas wie eine Blinddarmentzündung sein könnte, also bin ich gekommen, um es zu überprüfen."
tom_stevens,0,31,It's definitely not something I have experienced before.,31,"Es ist definitiv nicht etwas, das ich zuvor erlebt habe."
ANIMATION,0,36,roger_johnson_speaking,36,roger_johnson_speaking
roger_johnson,0,36,"I've got left knee pain. It is also really swollen. Sometimes the pain radiates down. It's been making me really uneasy and I cannot walk well, so I came to get it checked.",36,"Ich habe Knieschmerzen. Es ist auch sehr geschwollen. Manchmal strahlt der Schmerz nieder. Es hat mich wirklich unruhig gemacht und ich kann nicht gut gehen, also kam ich, um es zu überprüfen."
