Latin,English,German
die Appendicitis,the appendicitis,die Blinddarmentzündung
die Cholelithiasis,the gallstones,die Gallensteine
die Colitis,the inflammation of the colon,die Dickdarmentzündung
die Cystolithiasis,the urinary bladder stones,die Harnblaseinsteine
die Duodenitis,inflammation of the duodenum,die Zwölfdarmentzündung
die Dermatitis,the inflammatory skin diseases,die entzündliche Hauterkrankungen
die Gastritis,inflammation of the gastric mucosa,die Magenschleimhautentzündung
die Tracheitis,inflammation of the trachea,die Luftröhrenentzündung
die Pharingitis,the inflammation of the throat,die Rachenentzündung
die Nephritis,the kidney inflammation,die Nierenentzündung
die Sinusitis,the sinus infection,die Nasennebenhöhlenentzündung
die Tonsillitis,the tonsillitis,die Mandelentzündung
die Angiitis,the vascular inflammation,die Gefäßentzündung
die Hepatitis,the liver inflammation,die Leberentzündung
die Pneumonie,the pneumonia,die Lungenentzündung
die Laryngitis,laryngitis,die Kehlkopfentzündung
die Rhinitis,the cold,der Schnupfen
die Pankreatitis,the inflammation of the pancreas,die Bauchspeicheldrüsenentzündung
die Tendinitis,the tendonitis,die Sehnenentzündung
die Arthritis,the joint inflammation,die Gelenkentzündung
die Thyreoiditis,the thyroid inflammation,die Schilddrüsenentzündung
die Hypertonie,the increased blood pressure,der erhöhte Blutdruck
die Hernie,the break,der Bruch
die Fraktur,the bone fracture,der Knochenbruch
die Konjunktivitis,conjunctivitis,die Bindehautentzündung 
das Ulcus duodeni,the duodenal ulcer,das Zwölffingerdarmgeschwür
das Ulcus ventriculi,the stomach ulcer,das Magengeschwür
die Esophagitis,the esophagitis,die Speiseröhrenentzündung
die Stomatitis,inflammation of the oral mucosa,die Mundschleimhautentzündung
die Arthrose,joint wear,der Gelenkverschleiß
die Urolithiasis,the kidney stones,die Nierensteine
die Cystitis,inflammation of the urinary bladder,die Harnblasenentzündung
die Hypothyreose,the hypothyroidism,die Schilddrüsenunterfunktion
die Hyperthyreose,the hyperthyroidism,die Schilddrüsenüberfunktion
die Otitis,the middle ear infection,die Mittelohrentzündung
die Phlebitis,the inflammation of the veins,die Venenentzündung
die Psoriasis,the psoriasis,die Schuppenflechte
die Urtikaria,the hives,die Nesselsucht
die Hepatitis,the liver inflammation,die Leberentzündung
die Aorta,the main artery,die Hauptschlagader
die Gingivitis,the inflammation of the gums,die Zahnfleischentzündung
die Stomatitis,inflammation of the oral mucosa,die Mundschleimhautentzündung
die Myokarditis,the myocarditis,die Herzmuskelentzündung
die Peritonitis,the peritonitis,die Bauchfellentzündung
die Gonarthrose,the gonarthrosis,der Kniegelenkverschleiß
die Coxarthrose,the coxarthrosis,der Hüftgelenkverschleiß
die Luxation,the dislocation,die Ausrenkung
die Kontusion,the contusion,die Prellung
die Anamnese,the medical history,die Krankengeschichte
die Epikrise,the epicrisis,der Abschlußbericht
der Dekubitus,the pressure ulcer,das Druckgeschwür
die Adipositas,the obesity,die Fettleibigkeit
die Diabetes,diabetes,die Zuckerkrankheit
die Parese,paresis,die Teillähmung
die Perikarditis,pericarditis,die Herzbeutelentzündung
der Insult,insult,der Schlaganfall
die Intoxikation,intoxication,die Vergiftung
febril,febrile,fieberhaft
die Fissur,fissure,der Riss
die Scabies,scabies,die Krätze
