Title,ExpandedHint,OncomingHelp,OffgoingHelp,RightAnswer,WrongAnswer1,WrongAnswer2
Name und Alter,Angaben zu Name und Alter des Patienten,Das ist Frau X. 42 Jahre alt.,Wie lautet der Name und das Alter des Patienten / der Patientin?,Dies ist MS X. 42.,Dies ist Frau Y. 42.,Dies ist MS X. 32.
Aufnahmediagnose,Bei der Einweisungsdiagnose werden die wichtigsten Teile der Anamnese und andere Diagnosen erfasst.,Sie wurde für einen chirurgischen Eingriff ins Krankenhaus eingeliefert. Letzte Nacht wurde sie erfolgreich am Knie operiert. Sie steht noch unter Beruhigungsmitteln und schläft im Moment. ,"Wie geht es dem Patienten / der Patientin, der gerade eine orthopädische Operation hinter sich hat?",Erfolgreiche orthopädische Kniechirurgie,Usuccessful Knie Orthopaedic Chirurgie,Erfolgreiche orthopädische Hip -orthopädische Chirurgie
Code-Status,"Code-Status - wenn ein orthopädischer Patient zu einer Operation ins Krankenhaus kommt, hat er einen bestimmten Code-Status. Der Status hängt davon ab, wie es dem Patienten geht und wie gut er sich erholt. Es wird zwischen 1 und 4 unterschieden, wobei 4 der höchste Status ist.",Ihr Code-Status ist 2.,Wie lautet der Code-Status des Patienten / der Patientin?,2,3,1
Schmerzniveau,Bezieht sich auf den Schmerz des Patienten,Sie hat keine Schmerzen und kann ihre Gliedmaßen bewegen.,Hat der Patient / die Patientin Schmerzen?,Kein Schmerz,Beinschmerzen,Schmerzen in nee
Anweisungen nach der Operation,"Anweisungen des Arztes, was nach einem chirurgischen Eingriff zu tun und zu lassen ist",Der Patient befolgte bisher die postoperativen Anweisungen.,Hat der Patient / die Patientin die postoperativen Anweisungen befolgt?,Der Patient Folgte den Anweisungen,Der Patient Beolgte Keine Anweisungen,Der Patient Hut Keine Anweisungen Erhalten
Vitalwerte,Vitalfunktionen der wichtigsten inneren Organe des Körpers.,Vitalwerte waren stabil / instabil,Wie sind die Vitalwerte des Patienten / der Patientin?,Stabil,Instabil,Instable
Besuch eines Orthopäden,Informationen über die Besuche des Arztes zur Kontrolle des Patienten,"Der Orthopäde der Patientin hatte sie besucht und war mit den Fortschritten zufrieden, aber die Patientin musste noch weiter betreut werden.
Der Orthopäde wird sie während Ihrer Schicht erneut besuchen und weitere Empfehlungen geben.
Sie hat in zwei Stunden einen Folgetermin bei ihrem Orthopäden.","Hat der Orthopäde den Patienten / die Patientin besucht? Wie empfanden sie den Fortschritt?
Ist sie für weitere Folgetermine vorgesehen?",Follow -up in 2 Stunden,Der Arzt Wird Nick Weder Besuchen,Zwei Tage Folgen
Medikamenteneinnahme,"Informationen über die aktuelle Medikation des Patienten (Antibiotika/Schmerzmittel usw.) und Anweisungen für die Medikamenteneinnahme.

[Für die abgehende Pflegekraft]: Denken Sie daran, dass Sie sich nicht auf jedes einzelne Medikament beziehen müssen, da die gesamte Liste auch der eintretenden Pflegekraft zur Verfügung gestellt wird.","Ich habe ihr Medikamente zur Schmerzlinderung gegeben, und sie ruht sich aus. In der nächsten Stunde muss sie X nehmen.","Welche Medikamente nimmt der Patient / die Patientin ein? Nimmt der Patient / die Patientin Antibiotika ein? Nimmt er / sie Schmerzmittel ein? Wenn ja, wann war die letzte Dosis?

Welche Medikamente haben Sie ihm bisher gegeben?",Muss in der Nächsten Stunde Medikamente Einnehmen,Hut Keine Medikamente Erhalten,Wird Keine Medikamente Erhalten
Isolationsmaßnahmen,"Isolationsvorkehrungen schaffen Barrieren zwischen Menschen und Krankheitserregern. Diese Art von Vorkehrungen trägt dazu bei, die Verbreitung von Keimen im Krankenhaus zu verhindern.","In den ersten zwei Tagen sind keine Besucher erlaubt, um Keime zu vermeiden. Mit Ausnahme von autorisiertem medizinischem Personal.","Erhält der Patient / die Patientin Sauerstoff? Wenn ja, wie viele Liter pro Minute erhält er / sie?",In den ersten zwei Tagen keine Besucher,Kein Besucher heute,Keine Besucher für vier Tage
Atmungsaktivität,"Sauerstoff erhalten - Atmung eines Patienten, die durch zusätzlichen Sauerstoff unterstützt wird.",,,[Richtige Antwort],[FalscheAntwort1],[FalscheAntwort2]
Kardiovaskulär ,"Telemetrie / Telemetrieüberwachung - Telemetrieüberwachung bedeutet, dass das medizinische Personal die elektrische Aktivität des Herzens über einen längeren Zeitraum überwacht.

Ein Tropf - ein kurzer, kleiner Kunststoffschlauch. Der Tropf wird mit einer Nadel in die Vene eingeführt, so dass Flüssigkeiten und Medikamente direkt in das Blut gelangen können.

Heparin - ein gerinnungshemmendes Mittel, das bei der Behandlung von Thrombosen eingesetzt wird.",,,[Richtige Antwort],[FalscheAntwort1],[FalscheAntwort2]
Neuro,"Bewusstseinsgrad - das Bewusstsein und das Verständnis einer Person für das, was in ihrer Umgebung geschieht.",,,[Richtige Antwort],[FalscheAntwort1],[FalscheAntwort2]
