sceneName,WelcomeText_English,WelcomeText_German,OutroText_English,OutroText_German
ScenarioB 0,"You are taking the role of a Trainee Nurse at the DrFlemp Hospital. 
First, you will familiarize with the pain scale.

Click on Mild pain to explore it further","Sie übernehmen die Rolle einer Auszubildenden im Drflemp Hospital.
Zunächst werden Sie mit der Schmerzskala vertraut gemacht.

Klicken Sie auf milde Schmerzen, um es weiter zu erkunden",Congratulations! Are you ready to practice?,Glückwunsch! Bist du bereit zu üben?
B1_Pain_Assessment,"Welcome to the admissions room.
 Go near to the patients and ask them about their stories and determine which is is most need of emergent attention. When you you are ready to make your selection, select the patient to bring to the next room using the tablet.
","Willkommen im Aufnahmesaal.
 Gehen Sie in die Nähe der Patienten und fragen Sie sie nach ihren Geschichten und bestimmen Sie, was am dringendsten benötigt wird. Wenn Sie bereit sind, Ihre Auswahl zu treffen, wählen Sie den Patienten aus, der mit dem Tablet in den nächsten Raum gebracht werden soll.",Congratulations! You are now trained in admissions room tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Zulassungsraumaufgaben geschult! Gehen wir zurück in die Lobby!
B1_Showcase,Learn the medical equipment before starting the exercise,"Erlernen Sie die medizinische Ausrüstung, bevor Sie mit der Übung beginnen","Congratulations, you've learned the equipment, now you can move on to the exercise","Herzlichen Glückwunsch, Sie haben die Ausrüstung gelernt, jetzt können Sie mit der Übung fortfahren"
B11,"Welcome to the admissions room.
 Go near to the patients and ask them about their stories and determine which is is most need of emergent attention. When you you are ready to make your selection, select the patient to bring to the next room using the tablet.","Willkommen im Aufnahmesaal.
 Gehen Sie in die Nähe der Patienten und fragen Sie sie nach ihren Geschichten und bestimmen Sie, was am dringendsten benötigt wird. Wenn Sie bereit sind, Ihre Auswahl zu treffen, wählen Sie den Patienten aus, der mit dem Tablet in den nächsten Raum gebracht werden soll.",Congratulations! You are now trained in admissions room tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Zulassungsraumaufgaben geschult! Gehen wir zurück in die Lobby!
B12,"You are a trainee nurse following the admissions nurse. Listen to the admissions nurse talking to the patient to learn what basic information is taken in the examination room upon admission. Use the Tablet on your left hand to follow the conversation. 
 Once you have listened to the dialogue complete the quiz.","Sie sind eine auszubildende Krankenschwester, die der Aufnahmekrankenschwester folgt. Hören Sie zu, wie die Aufnahmeschwester mit dem Patienten spricht, um zu erfahren, welche grundlegenden Informationen bei der Aufnahme im Untersuchungsraum aufgenommen werden. Verwenden Sie das Tablet auf Ihrer linken Hand, um dem Gespräch zu folgen.
 Sobald Sie den Dialog angehört haben, schließen Sie das Quiz ab.",Congratulations! You are now trained in admissions room tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Zulassungsraumaufgaben geschult! Gehen wir zurück in die Lobby!
B21 start,"Welcome to the admissions room.
 Go near to the patients and ask them about their stories and determine which is in most need of emergent attention. When you are ready to make your selection, select the patient to bring to the next room using the tablet.","Willkommen im Aufnahmesaal.
 Gehen Sie in die Nähe der Patienten und fragen Sie sie nach ihren Geschichten und stellen Sie fest, welche am dringendsten Aufmerksamkeit benötigen. Wenn Sie bereit sind, Ihre Auswahl zu treffen, wählen Sie den Patienten aus, der mit dem Tablet in den nächsten Raum gebracht werden soll.",Congratulations! You are now trained in admissions room tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Zulassungsraumaufgaben geschult! Gehen wir zurück in die Lobby!
B22,Now is your turn to examine a patient. Use your tablet to identify the elements you need to take. Move closer to the patient to ask questions. The dialogue will appear on the screen near the patient. Allow the patient some time to react.,"Jetzt sind Sie an der Reihe, einen Patienten zu untersuchen. Verwenden Sie Ihr Tablet, um die Elemente zu identifizieren, die Sie einnehmen müssen. Gehen Sie näher an den Patienten heran, um Fragen zu stellen. Der Dialog erscheint auf dem Bildschirm in der Nähe des Patienten. Geben Sie dem Patienten etwas Zeit zu reagieren.",Congratulations! You are now trained in admissions room tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Zulassungsraumaufgaben geschult! Gehen wir zurück in die Lobby!
Scene6,"Listen carefully to the doctor, go to the right equipment and use the grab button to point at it","Hören Sie dem Arzt genau zu, gehen Sie zur richtigen Ausrüstung und zeigen Sie mit dem Greifknopf darauf",Congratulations! Let’s move back to the lobby!,Herzlichen Glückwunsch! Gehen wir zurück in die Lobby!
RecordedShiftChange,You are a training nurse observing two experienced nurses handling the shift change. Listen to the information being exchanged and check the information in your Report checklist which of the items have been mentioned,"Sie sind eine Ausbildungskrankenschwester, die zwei erfahrenen Krankenschwestern beim Schichtwechsel zusieht. Hören Sie sich die ausgetauschten Informationen an und überprüfen Sie die Informationen in Ihrer Berichtscheckliste, welche der Punkte erwähnt wurden",Congratulations! You are now trained in shift change tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Schichtwechselaufgaben geschult! Gehen wir zurück in die Lobby!
MultiplayerScene,Now try to complete this exercise with another student in multiplayer mode,"Versuchen Sie nun, diese Übung mit einem anderen Schüler im Mehrspielermodus zu absolvieren",Congratulations! You are now trained in shift change tasks! Let’s move back to the lobby!,Herzlichen Glückwunsch! Sie sind jetzt in Schichtwechselaufgaben geschult! Gehen wir zurück in die Lobby!
