Title,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9
"Gibt es Erbkrankheiten in der Familie des Patienten oder in der Familie des Vaters des Kindes des Patienten, wenn ja, welche und bei wem?",Diabetes und Hypertonie bei der Mutter der Patientin,Zuckerkrankheit und Bluthochdruck bei der Mutter der Patientin,"Hypertonie bei der Mutter des Vaters des Kindes, Gaumenspalten bei seiner Schwester",Zöliakie bei der Mutter der Patientin,Mukoviszidose beim Bruder der Patientin,,,,
"Hat die Patientin in der Vergangenheit schwere Krankheiten gehabt, wenn ja, welche?",Lungenentzündung und Asthma,Herzfehler,Hepatitis C,Pyelonephritis,Autounfall,Lebensmittelvergiftung,Lebensmittelvergiftung,,
Blutgerinnungsstörung,Ja,Nein,,,,,,,
Welche Allergie hat die Patientin?,Nahrungsmittel,Pollen,Pflaster,Katzen und Hunde,Lebensmittelvergiftung,Penicillin,Hausstaub,,
Bluttransfusion:,Ja,Nein,,,,,,,
psychische Belastung:,Ja,Nein,,,,,,,
soziale Schwierigkeiten:,Ja,Nein,,,,,,,
Blutguppenunverträglichkeiten:,Ja,Nein,,,,,,,
zuckerkrank:,Ja,Nein,,,,,,,
kleinwüchsig:,Ja,Nein,,,,,,,
skelettauffälligkeiten:,Ja,Nein,,,,,,,
unter 18:,Ja,Nein,,,,,,,
über 35:,Ja,Nein,,,,,,,
mehr als 4 Kinder:,Ja,Nein,,,,,,,
Sterilitätsbehandlung:,Ja,Nein,,,,,,,
Frühgeburt:,Ja,Nein,,,,,,,
unreifes Kind:,Ja,Nein,,,,,,,
Geburten Komplikationen:,Ja,Nein,,,,,,,
Kind per Kaiserschnitt:,Ja,Nein,,,,,,,
"Hat die Patientin Gebärmutteroperationen gehabt, wenn ja, welche?",Myom,Endometriose,Sectio,Keine,,,,,
letzte Schwangerschaft:,Ja,Nein,,,,,,,
"Gibt es andere Besonderheiten, wenn ja, welche?",Appendizitis mit Bauchfellentzündung,Brustimplantate,Depression,Kurzsichtigkeit,Hörgerät,Arthritis,Gallenstein,Nierenzyste,Nierenstein
"Nimmt die Patientin irgendwelche Medikamente ein, wenn ja, welche und warum?",Metformin 850 mg,"L-Thyroxin, 150","Telmisartan plus, 20/12,5 mg und Carvedidol",Citalopram 40 mg,Ibuprofen,Lercanidipin und Candesartan,,,
HIV AIDS TEST,Ja,Nein,,,,,,,
