Latin,English,German
der Abdomen,the belly,der Bauch
der Thorax,the chest,der Brustkorb
das Pelvis,the basin,das Becken
der Cranium,the skull,der Schadel
das Collum,the neck,der Hals
die Columna vertebri,the spine,die Wirbelsäule
das Zerebrum,the cerebrum,das Großhirn
der Oss,the bone,der Knochen
der Femur,the thigh,der Oberschenkel
der Crus,the lower leg,der Unterschenkel
der Humer,the humerus,der Oberarmknochen
der Manus,the hand,die Hand
der Intestinum,the intestines,der Darm
der Anus,The anus,der After
Das Oculus,the eye,das Auge
das Peritoneum,the peritoneum,das Bauchfell
das Pleura,the pleura,das Brustfell
die Prostata,the prostate gland,die Vorsteherdrüse
das Protein,the protein,das Eiweiß
das Ovarium,the ovary,der Eierstock
die Aorta,the main artery,die Hauptschlagader
